date,description,amount_eur,balance_eur,currency
2026-06-01,NETFLIX.COM,-12.99,2437.01,EUR
2026-06-02,CAFFE NERO IFSC DUBLIN,-9.95,2427.06,EUR
2026-06-03,SPOTIFY P0A1B2C,-9.99,2417.07,EUR
2026-06-04,TESCO STORES 3294,-23.20,2393.87,EUR
2026-06-04,TESCO STORES 3294,-41.05,2352.82,EUR
2026-06-05,SQ *PIGS EAR REST 4471,-88.00,2264.82,EUR
2026-06-05,LEAP CARD TOP-UP,-20.00,2244.82,EUR
2026-06-06,AMZN MKTP IE *RT4Q1,-34.99,2209.83,EUR
2026-06-07,SUPERVALU BRAY,-12.09,2197.74,EUR
2026-06-08,BOOTS 6612 DUBLIN,-15.30,2182.44,EUR
2026-06-09,BOOTS 6612 DUBLIN,-15.30,2167.14,EUR
